feedback,date,estate,categorised_feedback,final_feedback
"The contractors were friendly and respectful, always cleaning up after themselves. Since the insulation was added, my flat feels warmer and I've noticed a drop in my energy bills. Really pleased overall.",05/02/2025,Maple Grove Estate,"[{'theme': 'Contractor Conduct', 'sentiment': 5}, {'theme': 'Improved Comfort', 'sentiment': 5}, {'theme': 'Energy Bill Reduction', 'sentiment': 5}, {'theme': 'Overall Satisfaction', 'sentiment': 5}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}, {'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 5}, {'final_theme': 'Overall Assessment', 'sentiment': 5}]"
"The workmen didn't turn up when they said they would, and when they did, they left a mess. I'm still waiting for the new windows to be sealed properly.",24/04/2025,Hillview Court,"[{'theme': 'Timeliness/Scheduling', 'sentiment': 1}, {'theme': 'Workmanship/Quality of Work', 'sentiment': 1}, {'theme': 'Site Cleanliness', 'sentiment': 1}]","[{'final_theme': 'Operational Scheduling and Timing', 'sentiment': 1}, {'final_theme': 'Workmanship Quality', 'sentiment': 1}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 1}]"
"I didn't really notice much difference in the warmth of my home, but the noise from the works was quite disruptive, especially as I work from home.",23/02/2025,Riverside Heights,"[{'theme': 'Effectiveness of Retrofit (Warmth)', 'sentiment': 2}, {'theme': 'Disruption during Works (Noise)', 'sentiment': 1}]","[{'final_theme': 'Evaluating Retrofit Outcomes', 'sentiment': 2}, {'final_theme': 'Noise Disruption', 'sentiment': 1}]"
Communication was excellent throughout. We were always informed ahead of time and given clear instructions. It made a big difference to know what to expect.,13/02/2025,Riverside Heights,"[{'theme': 'Communication', 'sentiment': 5}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}]"
"After the improvements, my home is definitely warmer, but I'm not sure if my bills have changed much yet. It's too early to say.",11/04/2025,Riverside Heights,"[{'theme': 'Home comfort/warmth', 'sentiment': 5}, {'theme': 'Energy bills/cost savings', 'sentiment': 3}]","[{'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 3}]"
"I was skeptical at first, but the external wall insulation really helped. My flat used to be freezing in the mornings, now it's much more comfortable.",10/04/2025,Hillview Court,"[{'theme': 'Thermal Comfort', 'sentiment': 5}, {'theme': 'Insulation Effectiveness', 'sentiment': 5}, {'theme': 'Addressing Concerns', 'sentiment': 5}]","[{'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Heating and Insulation Performance', 'sentiment': 5}, {'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}]"
There was no proper explanation of what work would be done. I only found out about scaffolding going up the day it happened. Poor planning from the council.,21/03/2025,Maple Grove Estate,"[{'theme': 'Communication & Information Provision', 'sentiment': 1}, {'theme': 'Project Planning & Organisation', 'sentiment': 1}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 1}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 1}]"
"The workers were in and out quickly, and they were very polite. But I did have to take a few days off work unexpectedly, which I wasn't happy about.",11/01/2025,Riverside Heights,"[{'theme': 'Worker Conduct', 'sentiment': 5}, {'theme': 'Project Efficiency', 'sentiment': 5}, {'theme': 'Scheduling and Planning', 'sentiment': 2}, {'theme': 'Disruption', 'sentiment': 2}]","[{'final_theme': 'Service Quality and Customer Care', 'sentiment': 5}, {'final_theme': 'Project Management and Outcomes', 'sentiment': 5}, {'final_theme': 'Operational Scheduling and Timing', 'sentiment': 2}, {'final_theme': 'Noise Disruption', 'sentiment': 2}]"
"I appreciate the improvements, but the paint job around the window frames was rushed and sloppy. Doesn't look professional.",27/01/2025,Hillview Court,"[{'theme': 'Overall Improvement', 'sentiment': 4}, {'theme': 'Workmanship Quality (Painting)', 'sentiment': 2}]","[{'final_theme': 'Overall Assessment', 'sentiment': 4}, {'final_theme': 'Workmanship Quality', 'sentiment': 2}]"
"Our home is now much warmer, and the drafts have completely gone. I feel a lot more comfortable, especially in the evenings. Thank you!",22/01/2025,Riverside Heights,"[{'theme': 'Thermal Comfort', 'sentiment': 5}, {'theme': 'Livability', 'sentiment': 5}, {'theme': 'Overall Satisfaction', 'sentiment': 5}]","[{'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Home Quality', 'sentiment': 5}, {'final_theme': 'Overall Assessment', 'sentiment': 5}]"
